[1]	train's auc: 0.702302	train's online_auc: 0.700284	valid's auc: 0.699138	valid's online_auc: 0.698175
[168]	train's auc: 0.755972	train's online_auc: 0.754582	valid's auc: 0.741808	valid's online_auc: 0.737442
[169]	train's auc: 0.756048	train's online_auc: 0.754755	valid's auc: 0.741814	valid's online_auc: 0.737457
[170]	train's auc: 0.756115	train's online_auc: 0.75496	valid's auc: 0.741805	valid's online_auc: 0.737434
[171]	train's auc: 0.756136	train's online_auc: 0.754981	valid's auc: 0.741801	valid's online_auc: 0.737426
[172]	train's auc: 0.756179	train's online_auc: 0.755049	valid's auc: 0.741797	valid's online_auc: 0.737427
[173]	train's auc: 0.756212	train's online_auc: 0.755116	valid's auc: 0.741794	valid's online_auc: 0.737425
[174]	train's auc: 0.756276	train's online_auc: 0.755186	valid's auc: 0.741817	valid's online_auc: 0.737449
[175]	train's auc: 0.756306	train's online_auc: 0.755216	valid's auc: 0.741805	valid's online_auc: 0.737442
[176]	train's auc: 0.756353	train's online_auc: 0.75529	valid's auc: 0.741825	valid's online_auc: 0.73747
[177]	train's auc: 0.75649	train's online_auc: 0.755483	valid's auc: 0.741945	valid's online_auc: 0.737621
[178]	train's auc: 0.756581	train's online_auc: 0.755552	valid's auc: 0.741994	valid's online_auc: 0.737635
[179]	train's auc: 0.756657	train's online_auc: 0.75566	valid's auc: 0.742	valid's online_auc: 0.73765
[180]	train's auc: 0.756746	train's online_auc: 0.755765	valid's auc: 0.742019	valid's online_auc: 0.737664
[181]	train's auc: 0.756815	train's online_auc: 0.755823	valid's auc: 0.742013	valid's online_auc: 0.737691
[182]	train's auc: 0.756883	train's online_auc: 0.75587	valid's auc: 0.742013	valid's online_auc: 0.737682
[183]	train's auc: 0.756922	train's online_auc: 0.755932	valid's auc: 0.74202	valid's online_auc: 0.737697
[184]	train's auc: 0.756969	train's online_auc: 0.756008	valid's auc: 0.742023	valid's online_auc: 0.737716
[185]	train's auc: 0.757068	train's online_auc: 0.756149	valid's auc: 0.742052	valid's online_auc: 0.737777
[186]	train's auc: 0.757119	train's online_auc: 0.75623	valid's auc: 0.742059	valid's online_auc: 0.73779
[187]	train's auc: 0.757167	train's online_auc: 0.756261	valid's auc: 0.74207	valid's online_auc: 0.737812
[188]	train's auc: 0.757282	train's online_auc: 0.756298	valid's auc: 0.742141	valid's online_auc: 0.737831
[189]	train's auc: 0.75739	train's online_auc: 0.756414	valid's auc: 0.742242	valid's online_auc: 0.737952
[190]	train's auc: 0.757439	train's online_auc: 0.756439	valid's auc: 0.742247	valid's online_auc: 0.737959
[191]	train's auc: 0.757478	train's online_auc: 0.75649	valid's auc: 0.742258	valid's online_auc: 0.73796
[192]	train's auc: 0.757517	train's online_auc: 0.756598	valid's auc: 0.742256	valid's online_auc: 0.737944
[193]	train's auc: 0.757552	train's online_auc: 0.756637	valid's auc: 0.742255	valid's online_auc: 0.737923
[194]	train's auc: 0.757597	train's online_auc: 0.756713	valid's auc: 0.74226	valid's online_auc: 0.737922
[195]	train's auc: 0.757648	train's online_auc: 0.75674	valid's auc: 0.742266	valid's online_auc: 0.737933
[196]	train's auc: 0.757681	train's online_auc: 0.756784	valid's auc: 0.742266	valid's online_auc: 0.737931
[197]	train's auc: 0.757703	train's online_auc: 0.756799	valid's auc: 0.742265	valid's online_auc: 0.737936
[198]	train's auc: 0.757755	train's online_auc: 0.75687	valid's auc: 0.742271	valid's online_auc: 0.737953
[199]	train's auc: 0.757824	train's online_auc: 0.756955	valid's auc: 0.742291	valid's online_auc: 0.737978
[200]	train's auc: 0.757891	train's online_auc: 0.757018	valid's auc: 0.74229	valid's online_auc: 0.737975
[201]	train's auc: 0.757973	train's online_auc: 0.75717	valid's auc: 0.742321	valid's online_auc: 0.738004
[202]	train's auc: 0.75803	train's online_auc: 0.75721	valid's auc: 0.742335	valid's online_auc: 0.738028
[203]	train's auc: 0.758045	train's online_auc: 0.757221	valid's auc: 0.742333	valid's online_auc: 0.738024
[204]	train's auc: 0.758075	train's online_auc: 0.757257	valid's auc: 0.742335	valid's online_auc: 0.738032
[205]	train's auc: 0.758127	train's online_auc: 0.757355	valid's auc: 0.742341	valid's online_auc: 0.738046
[206]	train's auc: 0.758168	train's online_auc: 0.757414	valid's auc: 0.742359	valid's online_auc: 0.738081
[207]	train's auc: 0.758277	train's online_auc: 0.757563	valid's auc: 0.742384	valid's online_auc: 0.738113
[208]	train's auc: 0.758333	train's online_auc: 0.757632	valid's auc: 0.742397	valid's online_auc: 0.738145
[209]	train's auc: 0.758412	train's online_auc: 0.757769	valid's auc: 0.742413	valid's online_auc: 0.738134
[210]	train's auc: 0.758443	train's online_auc: 0.757813	valid's auc: 0.742417	valid's online_auc: 0.738139
[211]	train's auc: 0.75848	train's online_auc: 0.757848	valid's auc: 0.742429	valid's online_auc: 0.73815
[212]	train's auc: 0.758519	train's online_auc: 0.757875	valid's auc: 0.742431	valid's online_auc: 0.738151
[213]	train's auc: 0.758578	train's online_auc: 0.757961	valid's auc: 0.742429	valid's online_auc: 0.73814
[214]	train's auc: 0.758626	train's online_auc: 0.758037	valid's auc: 0.742427	valid's online_auc: 0.738112
[215]	train's auc: 0.75869	train's online_auc: 0.758113	valid's auc: 0.742422	valid's online_auc: 0.738104
[216]	train's auc: 0.758741	train's online_auc: 0.758158	valid's auc: 0.74243	valid's online_auc: 0.738107
[217]	train's auc: 0.758755	train's online_auc: 0.758178	valid's auc: 0.742434	valid's online_auc: 0.738108
[218]	train's auc: 0.758773	train's online_auc: 0.758196	valid's auc: 0.742443	valid's online_auc: 0.738139
[219]	train's auc: 0.7588	train's online_auc: 0.758228	valid's auc: 0.742435	valid's online_auc: 0.738126
[220]	train's auc: 0.758854	train's online_auc: 0.758369	valid's auc: 0.742432	valid's online_auc: 0.73808
[221]	train's auc: 0.758889	train's online_auc: 0.758431	valid's auc: 0.742415	valid's online_auc: 0.738051
[222]	train's auc: 0.758925	train's online_auc: 0.758496	valid's auc: 0.742405	valid's online_auc: 0.738022
[223]	train's auc: 0.75898	train's online_auc: 0.758576	valid's auc: 0.742397	valid's online_auc: 0.738003
[224]	train's auc: 0.759006	train's online_auc: 0.758615	valid's auc: 0.742392	valid's online_auc: 0.738
[225]	train's auc: 0.759059	train's online_auc: 0.758695	valid's auc: 0.742402	valid's online_auc: 0.737999
[226]	train's auc: 0.75914	train's online_auc: 0.758779	valid's auc: 0.742412	valid's online_auc: 0.738003
[227]	train's auc: 0.759223	train's online_auc: 0.758911	valid's auc: 0.742442	valid's online_auc: 0.738009
[228]	train's auc: 0.759257	train's online_auc: 0.758976	valid's auc: 0.742441	valid's online_auc: 0.73805
[229]	train's auc: 0.759307	train's online_auc: 0.759048	valid's auc: 0.742438	valid's online_auc: 0.73803
[230]	train's auc: 0.759395	train's online_auc: 0.759196	valid's auc: 0.742486	valid's online_auc: 0.738051
[231]	train's auc: 0.759425	train's online_auc: 0.759242	valid's auc: 0.742485	valid's online_auc: 0.738042
[232]	train's auc: 0.759465	train's online_auc: 0.759285	valid's auc: 0.742483	valid's online_auc: 0.738018
[233]	train's auc: 0.75951	train's online_auc: 0.759345	valid's auc: 0.742482	valid's online_auc: 0.738028
[234]	train's auc: 0.75956	train's online_auc: 0.759421	valid's auc: 0.742493	valid's online_auc: 0.738047
[235]	train's auc: 0.759611	train's online_auc: 0.759485	valid's auc: 0.742497	valid's online_auc: 0.738034
[236]	train's auc: 0.759661	train's online_auc: 0.759573	valid's auc: 0.742512	valid's online_auc: 0.738032
[237]	train's auc: 0.759723	train's online_auc: 0.759603	valid's auc: 0.742534	valid's online_auc: 0.738018
[238]	train's auc: 0.759796	train's online_auc: 0.759673	valid's auc: 0.742551	valid's online_auc: 0.73804
[239]	train's auc: 0.759911	train's online_auc: 0.759866	valid's auc: 0.742577	valid's online_auc: 0.738076
[240]	train's auc: 0.760063	train's online_auc: 0.760112	valid's auc: 0.742634	valid's online_auc: 0.738151
[241]	train's auc: 0.760131	train's online_auc: 0.760194	valid's auc: 0.742635	valid's online_auc: 0.738173
[242]	train's auc: 0.760145	train's online_auc: 0.760209	valid's auc: 0.742634	valid's online_auc: 0.738165
[243]	train's auc: 0.760167	train's online_auc: 0.760245	valid's auc: 0.742636	valid's online_auc: 0.738158
[244]	train's auc: 0.760205	train's online_auc: 0.760281	valid's auc: 0.742648	valid's online_auc: 0.738167
[245]	train's auc: 0.760226	train's online_auc: 0.760298	valid's auc: 0.742642	valid's online_auc: 0.738157
[246]	train's auc: 0.76026	train's online_auc: 0.760326	valid's auc: 0.74265	valid's online_auc: 0.738162
[247]	train's auc: 0.760348	train's online_auc: 0.760419	valid's auc: 0.742693	valid's online_auc: 0.738199
[248]	train's auc: 0.760367	train's online_auc: 0.760446	valid's auc: 0.742701	valid's online_auc: 0.738208
[249]	train's auc: 0.760451	train's online_auc: 0.760485	valid's auc: 0.742709	valid's online_auc: 0.738219
[250]	train's auc: 0.76051	train's online_auc: 0.760574	valid's auc: 0.74273	valid's online_auc: 0.738243
[251]	train's auc: 0.760548	train's online_auc: 0.76065	valid's auc: 0.742726	valid's online_auc: 0.738222
[252]	train's auc: 0.760581	train's online_auc: 0.760677	valid's auc: 0.742727	valid's online_auc: 0.738218
[253]	train's auc: 0.760664	train's online_auc: 0.76078	valid's auc: 0.742743	valid's online_auc: 0.738249
[254]	train's auc: 0.760722	train's online_auc: 0.760857	valid's auc: 0.742764	valid's online_auc: 0.738289
[255]	train's auc: 0.760768	train's online_auc: 0.760943	valid's auc: 0.742767	valid's online_auc: 0.738306
[256]	train's auc: 0.760811	train's online_auc: 0.760998	valid's auc: 0.742764	valid's online_auc: 0.738295
[257]	train's auc: 0.760825	train's online_auc: 0.761013	valid's auc: 0.742758	valid's online_auc: 0.738285
