[1]	train's auc: 0.619291	train's online_auc: 0.611129	valid's auc: 0.619593	valid's online_auc: 0.612418
[185]	train's auc: 0.739821	train's online_auc: 0.737765	valid's auc: 0.724635	valid's online_auc: 0.718687
[186]	train's auc: 0.739877	train's online_auc: 0.737832	valid's auc: 0.724655	valid's online_auc: 0.718723
[187]	train's auc: 0.740057	train's online_auc: 0.738081	valid's auc: 0.724749	valid's online_auc: 0.7188
[188]	train's auc: 0.740194	train's online_auc: 0.738195	valid's auc: 0.724867	valid's online_auc: 0.718873
[189]	train's auc: 0.740384	train's online_auc: 0.738518	valid's auc: 0.724932	valid's online_auc: 0.718915
[190]	train's auc: 0.740435	train's online_auc: 0.738548	valid's auc: 0.724962	valid's online_auc: 0.718922
[191]	train's auc: 0.740478	train's online_auc: 0.738638	valid's auc: 0.724987	valid's online_auc: 0.718937
[192]	train's auc: 0.740732	train's online_auc: 0.739073	valid's auc: 0.725089	valid's online_auc: 0.719187
[193]	train's auc: 0.740822	train's online_auc: 0.739161	valid's auc: 0.725148	valid's online_auc: 0.719229
[194]	train's auc: 0.740958	train's online_auc: 0.739333	valid's auc: 0.725255	valid's online_auc: 0.719378
[195]	train's auc: 0.741149	train's online_auc: 0.739556	valid's auc: 0.725347	valid's online_auc: 0.719429
[196]	train's auc: 0.741242	train's online_auc: 0.739659	valid's auc: 0.725418	valid's online_auc: 0.71951
[197]	train's auc: 0.741319	train's online_auc: 0.73974	valid's auc: 0.725437	valid's online_auc: 0.719521
[198]	train's auc: 0.741396	train's online_auc: 0.739907	valid's auc: 0.725456	valid's online_auc: 0.719498
[199]	train's auc: 0.741503	train's online_auc: 0.740025	valid's auc: 0.725514	valid's online_auc: 0.719573
[200]	train's auc: 0.741546	train's online_auc: 0.740087	valid's auc: 0.725535	valid's online_auc: 0.719587
[201]	train's auc: 0.741668	train's online_auc: 0.740203	valid's auc: 0.725596	valid's online_auc: 0.719608
[202]	train's auc: 0.741778	train's online_auc: 0.740323	valid's auc: 0.72564	valid's online_auc: 0.719638
[203]	train's auc: 0.741877	train's online_auc: 0.740393	valid's auc: 0.725681	valid's online_auc: 0.719649
[204]	train's auc: 0.74195	train's online_auc: 0.740466	valid's auc: 0.725715	valid's online_auc: 0.719723
[205]	train's auc: 0.742016	train's online_auc: 0.740527	valid's auc: 0.725732	valid's online_auc: 0.719773
[206]	train's auc: 0.742133	train's online_auc: 0.740623	valid's auc: 0.725771	valid's online_auc: 0.71978
[207]	train's auc: 0.742257	train's online_auc: 0.740735	valid's auc: 0.725797	valid's online_auc: 0.719791
[208]	train's auc: 0.742324	train's online_auc: 0.74083	valid's auc: 0.725827	valid's online_auc: 0.719832
[209]	train's auc: 0.742385	train's online_auc: 0.740892	valid's auc: 0.725868	valid's online_auc: 0.719862
[210]	train's auc: 0.742502	train's online_auc: 0.741008	valid's auc: 0.725927	valid's online_auc: 0.719944
[211]	train's auc: 0.742623	train's online_auc: 0.741106	valid's auc: 0.725973	valid's online_auc: 0.719971
[212]	train's auc: 0.742702	train's online_auc: 0.741169	valid's auc: 0.726018	valid's online_auc: 0.720003
[213]	train's auc: 0.742878	train's online_auc: 0.741302	valid's auc: 0.726137	valid's online_auc: 0.720139
[214]	train's auc: 0.742988	train's online_auc: 0.741436	valid's auc: 0.726179	valid's online_auc: 0.720202
[215]	train's auc: 0.743052	train's online_auc: 0.741527	valid's auc: 0.726183	valid's online_auc: 0.720201
[216]	train's auc: 0.743166	train's online_auc: 0.741677	valid's auc: 0.726262	valid's online_auc: 0.720295
[217]	train's auc: 0.74328	train's online_auc: 0.741757	valid's auc: 0.726302	valid's online_auc: 0.720315
[218]	train's auc: 0.743389	train's online_auc: 0.741911	valid's auc: 0.726336	valid's online_auc: 0.720381
[219]	train's auc: 0.743458	train's online_auc: 0.741959	valid's auc: 0.726386	valid's online_auc: 0.720416
[220]	train's auc: 0.74351	train's online_auc: 0.742031	valid's auc: 0.726402	valid's online_auc: 0.720425
[221]	train's auc: 0.743603	train's online_auc: 0.742255	valid's auc: 0.726415	valid's online_auc: 0.720433
[222]	train's auc: 0.743684	train's online_auc: 0.742376	valid's auc: 0.72644	valid's online_auc: 0.720452
[223]	train's auc: 0.743773	train's online_auc: 0.742484	valid's auc: 0.72646	valid's online_auc: 0.720487
[224]	train's auc: 0.744136	train's online_auc: 0.742946	valid's auc: 0.726671	valid's online_auc: 0.720725
[225]	train's auc: 0.744225	train's online_auc: 0.743053	valid's auc: 0.726734	valid's online_auc: 0.720839
[226]	train's auc: 0.744262	train's online_auc: 0.743091	valid's auc: 0.726741	valid's online_auc: 0.720835
[227]	train's auc: 0.744326	train's online_auc: 0.743123	valid's auc: 0.726762	valid's online_auc: 0.720829
[228]	train's auc: 0.744412	train's online_auc: 0.74325	valid's auc: 0.7268	valid's online_auc: 0.720883
[229]	train's auc: 0.744547	train's online_auc: 0.743424	valid's auc: 0.726862	valid's online_auc: 0.720971
[230]	train's auc: 0.74463	train's online_auc: 0.743523	valid's auc: 0.726921	valid's online_auc: 0.72105
[231]	train's auc: 0.745005	train's online_auc: 0.743998	valid's auc: 0.727186	valid's online_auc: 0.721457
[232]	train's auc: 0.745037	train's online_auc: 0.744052	valid's auc: 0.727191	valid's online_auc: 0.72147
[233]	train's auc: 0.745136	train's online_auc: 0.744145	valid's auc: 0.727241	valid's online_auc: 0.721533
[234]	train's auc: 0.745401	train's online_auc: 0.74445	valid's auc: 0.72743	valid's online_auc: 0.721755
[235]	train's auc: 0.745531	train's online_auc: 0.744778	valid's auc: 0.727468	valid's online_auc: 0.721889
[236]	train's auc: 0.745631	train's online_auc: 0.744911	valid's auc: 0.727503	valid's online_auc: 0.721918
[237]	train's auc: 0.745733	train's online_auc: 0.745059	valid's auc: 0.727548	valid's online_auc: 0.722017
[238]	train's auc: 0.74582	train's online_auc: 0.745138	valid's auc: 0.727628	valid's online_auc: 0.722076
[239]	train's auc: 0.74588	train's online_auc: 0.745186	valid's auc: 0.72766	valid's online_auc: 0.722084
[240]	train's auc: 0.745938	train's online_auc: 0.745253	valid's auc: 0.727664	valid's online_auc: 0.722068
[241]	train's auc: 0.746018	train's online_auc: 0.745338	valid's auc: 0.72768	valid's online_auc: 0.722075
[242]	train's auc: 0.746216	train's online_auc: 0.745602	valid's auc: 0.727777	valid's online_auc: 0.722147
[243]	train's auc: 0.746265	train's online_auc: 0.745662	valid's auc: 0.72779	valid's online_auc: 0.722142
[244]	train's auc: 0.746305	train's online_auc: 0.745701	valid's auc: 0.727806	valid's online_auc: 0.722142
[245]	train's auc: 0.746409	train's online_auc: 0.74578	valid's auc: 0.727829	valid's online_auc: 0.722171
[246]	train's auc: 0.746471	train's online_auc: 0.745928	valid's auc: 0.727838	valid's online_auc: 0.722171
[247]	train's auc: 0.746569	train's online_auc: 0.746026	valid's auc: 0.727845	valid's online_auc: 0.722182
[248]	train's auc: 0.746708	train's online_auc: 0.746069	valid's auc: 0.727905	valid's online_auc: 0.722196
[249]	train's auc: 0.746832	train's online_auc: 0.746227	valid's auc: 0.727955	valid's online_auc: 0.722205
[250]	train's auc: 0.746906	train's online_auc: 0.746315	valid's auc: 0.727988	valid's online_auc: 0.722234
[251]	train's auc: 0.746993	train's online_auc: 0.746429	valid's auc: 0.728024	valid's online_auc: 0.722249
[252]	train's auc: 0.747048	train's online_auc: 0.746479	valid's auc: 0.728043	valid's online_auc: 0.72225
[253]	train's auc: 0.747162	train's online_auc: 0.746604	valid's auc: 0.728089	valid's online_auc: 0.722305
[254]	train's auc: 0.747209	train's online_auc: 0.74669	valid's auc: 0.728102	valid's online_auc: 0.722317
[255]	train's auc: 0.747274	train's online_auc: 0.746773	valid's auc: 0.72813	valid's online_auc: 0.722349
[256]	train's auc: 0.747346	train's online_auc: 0.746819	valid's auc: 0.728152	valid's online_auc: 0.722407
[257]	train's auc: 0.74743	train's online_auc: 0.746898	valid's auc: 0.728191	valid's online_auc: 0.722441
