[1]	train's auc: 0.627667	train's online_auc: 0.649963	valid1's auc: 0.626556	valid1's online_auc: 0.647148
[46]	train's auc: 0.67162	train's online_auc: 0.693165	valid1's auc: 0.663514	valid1's online_auc: 0.683492
[47]	train's auc: 0.672248	train's online_auc: 0.693725	valid1's auc: 0.663815	valid1's online_auc: 0.683709
[48]	train's auc: 0.672854	train's online_auc: 0.694219	valid1's auc: 0.663968	valid1's online_auc: 0.683685
[49]	train's auc: 0.673302	train's online_auc: 0.69467	valid1's auc: 0.664172	valid1's online_auc: 0.683913
[50]	train's auc: 0.673705	train's online_auc: 0.694966	valid1's auc: 0.66437	valid1's online_auc: 0.684082
[51]	train's auc: 0.674041	train's online_auc: 0.695249	valid1's auc: 0.664551	valid1's online_auc: 0.684145
[52]	train's auc: 0.67448	train's online_auc: 0.695601	valid1's auc: 0.664758	valid1's online_auc: 0.684231
[53]	train's auc: 0.675056	train's online_auc: 0.696173	valid1's auc: 0.6649	valid1's online_auc: 0.684337
[54]	train's auc: 0.675438	train's online_auc: 0.69653	valid1's auc: 0.665127	valid1's online_auc: 0.684549
[55]	train's auc: 0.675684	train's online_auc: 0.696713	valid1's auc: 0.665261	valid1's online_auc: 0.684598
[56]	train's auc: 0.676016	train's online_auc: 0.69706	valid1's auc: 0.665451	valid1's online_auc: 0.684827
[57]	train's auc: 0.676304	train's online_auc: 0.697348	valid1's auc: 0.665586	valid1's online_auc: 0.684888
[58]	train's auc: 0.676697	train's online_auc: 0.697718	valid1's auc: 0.665698	valid1's online_auc: 0.685059
[59]	train's auc: 0.677152	train's online_auc: 0.698279	valid1's auc: 0.665781	valid1's online_auc: 0.685179
[60]	train's auc: 0.677602	train's online_auc: 0.698702	valid1's auc: 0.665981	valid1's online_auc: 0.685331
[61]	train's auc: 0.67801	train's online_auc: 0.699089	valid1's auc: 0.66609	valid1's online_auc: 0.685396
[62]	train's auc: 0.678417	train's online_auc: 0.699395	valid1's auc: 0.666262	valid1's online_auc: 0.685551
[63]	train's auc: 0.678835	train's online_auc: 0.699706	valid1's auc: 0.666384	valid1's online_auc: 0.685701
[64]	train's auc: 0.679274	train's online_auc: 0.700117	valid1's auc: 0.666642	valid1's online_auc: 0.68585
[65]	train's auc: 0.679666	train's online_auc: 0.700473	valid1's auc: 0.666809	valid1's online_auc: 0.686025
[66]	train's auc: 0.680166	train's online_auc: 0.700903	valid1's auc: 0.666921	valid1's online_auc: 0.686078
[67]	train's auc: 0.680603	train's online_auc: 0.70128	valid1's auc: 0.667055	valid1's online_auc: 0.686238
[68]	train's auc: 0.680893	train's online_auc: 0.701552	valid1's auc: 0.667157	valid1's online_auc: 0.686265
[69]	train's auc: 0.68132	train's online_auc: 0.701987	valid1's auc: 0.667266	valid1's online_auc: 0.686392
[70]	train's auc: 0.681641	train's online_auc: 0.702331	valid1's auc: 0.66739	valid1's online_auc: 0.686498
[71]	train's auc: 0.681924	train's online_auc: 0.702664	valid1's auc: 0.667477	valid1's online_auc: 0.686668
[72]	train's auc: 0.682226	train's online_auc: 0.702923	valid1's auc: 0.667603	valid1's online_auc: 0.686751
[73]	train's auc: 0.682542	train's online_auc: 0.703164	valid1's auc: 0.667711	valid1's online_auc: 0.686839
[74]	train's auc: 0.682822	train's online_auc: 0.703456	valid1's auc: 0.667843	valid1's online_auc: 0.687021
[75]	train's auc: 0.683123	train's online_auc: 0.703725	valid1's auc: 0.667918	valid1's online_auc: 0.687108
[76]	train's auc: 0.683523	train's online_auc: 0.704101	valid1's auc: 0.667997	valid1's online_auc: 0.687135
[77]	train's auc: 0.683883	train's online_auc: 0.704395	valid1's auc: 0.668149	valid1's online_auc: 0.687243
[78]	train's auc: 0.684261	train's online_auc: 0.7047	valid1's auc: 0.668255	valid1's online_auc: 0.687253
[79]	train's auc: 0.684538	train's online_auc: 0.704909	valid1's auc: 0.668358	valid1's online_auc: 0.687358
[80]	train's auc: 0.684867	train's online_auc: 0.705179	valid1's auc: 0.668415	valid1's online_auc: 0.687394
[81]	train's auc: 0.685345	train's online_auc: 0.705628	valid1's auc: 0.668459	valid1's online_auc: 0.68743
[82]	train's auc: 0.685843	train's online_auc: 0.70609	valid1's auc: 0.668566	valid1's online_auc: 0.687469
[83]	train's auc: 0.686076	train's online_auc: 0.706336	valid1's auc: 0.668663	valid1's online_auc: 0.687574
[84]	train's auc: 0.68641	train's online_auc: 0.706615	valid1's auc: 0.668721	valid1's online_auc: 0.687606
[85]	train's auc: 0.686762	train's online_auc: 0.706943	valid1's auc: 0.668755	valid1's online_auc: 0.687621
[86]	train's auc: 0.687024	train's online_auc: 0.707171	valid1's auc: 0.668814	valid1's online_auc: 0.687667
[87]	train's auc: 0.687242	train's online_auc: 0.707317	valid1's auc: 0.668871	valid1's online_auc: 0.687664
[88]	train's auc: 0.687612	train's online_auc: 0.707661	valid1's auc: 0.668959	valid1's online_auc: 0.687732
[89]	train's auc: 0.68788	train's online_auc: 0.707997	valid1's auc: 0.669006	valid1's online_auc: 0.687751
[90]	train's auc: 0.688192	train's online_auc: 0.708295	valid1's auc: 0.669141	valid1's online_auc: 0.687885
[91]	train's auc: 0.68853	train's online_auc: 0.708666	valid1's auc: 0.669165	valid1's online_auc: 0.687983
[92]	train's auc: 0.688715	train's online_auc: 0.708849	valid1's auc: 0.669235	valid1's online_auc: 0.688052
[93]	train's auc: 0.68913	train's online_auc: 0.709251	valid1's auc: 0.669288	valid1's online_auc: 0.688128
[94]	train's auc: 0.689452	train's online_auc: 0.709611	valid1's auc: 0.669321	valid1's online_auc: 0.688201
[95]	train's auc: 0.689737	train's online_auc: 0.709844	valid1's auc: 0.669384	valid1's online_auc: 0.688225
[96]	train's auc: 0.690048	train's online_auc: 0.710121	valid1's auc: 0.669392	valid1's online_auc: 0.688227
[97]	train's auc: 0.690422	train's online_auc: 0.710543	valid1's auc: 0.669448	valid1's online_auc: 0.688276
[98]	train's auc: 0.690625	train's online_auc: 0.710788	valid1's auc: 0.669474	valid1's online_auc: 0.688322
[99]	train's auc: 0.690914	train's online_auc: 0.711032	valid1's auc: 0.669539	valid1's online_auc: 0.688448
[100]	train's auc: 0.691163	train's online_auc: 0.711222	valid1's auc: 0.66967	valid1's online_auc: 0.688566
[101]	train's auc: 0.691504	train's online_auc: 0.711536	valid1's auc: 0.669793	valid1's online_auc: 0.688656
[102]	train's auc: 0.691892	train's online_auc: 0.711891	valid1's auc: 0.669957	valid1's online_auc: 0.688759
[103]	train's auc: 0.692221	train's online_auc: 0.712205	valid1's auc: 0.670037	valid1's online_auc: 0.688847
[104]	train's auc: 0.692616	train's online_auc: 0.712565	valid1's auc: 0.670085	valid1's online_auc: 0.688938
[105]	train's auc: 0.692835	train's online_auc: 0.712755	valid1's auc: 0.67013	valid1's online_auc: 0.688978
[106]	train's auc: 0.693097	train's online_auc: 0.713033	valid1's auc: 0.67017	valid1's online_auc: 0.688985
[107]	train's auc: 0.69346	train's online_auc: 0.713378	valid1's auc: 0.670239	valid1's online_auc: 0.689042
[108]	train's auc: 0.693782	train's online_auc: 0.713737	valid1's auc: 0.670298	valid1's online_auc: 0.689135
[109]	train's auc: 0.694069	train's online_auc: 0.713978	valid1's auc: 0.670344	valid1's online_auc: 0.689164
[110]	train's auc: 0.694363	train's online_auc: 0.714332	valid1's auc: 0.670373	valid1's online_auc: 0.689176
[111]	train's auc: 0.694624	train's online_auc: 0.714587	valid1's auc: 0.670353	valid1's online_auc: 0.689165
[112]	train's auc: 0.694863	train's online_auc: 0.714829	valid1's auc: 0.670397	valid1's online_auc: 0.68918
[113]	train's auc: 0.695272	train's online_auc: 0.715176	valid1's auc: 0.67048	valid1's online_auc: 0.689136
[114]	train's auc: 0.695473	train's online_auc: 0.715296	valid1's auc: 0.670521	valid1's online_auc: 0.689161
[115]	train's auc: 0.69575	train's online_auc: 0.715592	valid1's auc: 0.670554	valid1's online_auc: 0.689178
[116]	train's auc: 0.695852	train's online_auc: 0.715675	valid1's auc: 0.670593	valid1's online_auc: 0.689203
[117]	train's auc: 0.696202	train's online_auc: 0.716014	valid1's auc: 0.67063	valid1's online_auc: 0.689219
[118]	train's auc: 0.696471	train's online_auc: 0.716336	valid1's auc: 0.670666	valid1's online_auc: 0.68926
[119]	train's auc: 0.696657	train's online_auc: 0.716505	valid1's auc: 0.670711	valid1's online_auc: 0.689263
[120]	train's auc: 0.69681	train's online_auc: 0.716641	valid1's auc: 0.670734	valid1's online_auc: 0.689264
[121]	train's auc: 0.697137	train's online_auc: 0.717008	valid1's auc: 0.670743	valid1's online_auc: 0.689289
[122]	train's auc: 0.697432	train's online_auc: 0.71736	valid1's auc: 0.670732	valid1's online_auc: 0.689347
[123]	train's auc: 0.697686	train's online_auc: 0.717556	valid1's auc: 0.670755	valid1's online_auc: 0.689326
[124]	train's auc: 0.698076	train's online_auc: 0.717906	valid1's auc: 0.670789	valid1's online_auc: 0.689318
[125]	train's auc: 0.698329	train's online_auc: 0.718147	valid1's auc: 0.670799	valid1's online_auc: 0.689337
[126]	train's auc: 0.698641	train's online_auc: 0.718403	valid1's auc: 0.670842	valid1's online_auc: 0.689354
[127]	train's auc: 0.698761	train's online_auc: 0.718522	valid1's auc: 0.670853	valid1's online_auc: 0.689366
[128]	train's auc: 0.698996	train's online_auc: 0.718756	valid1's auc: 0.670883	valid1's online_auc: 0.689368
[129]	train's auc: 0.699251	train's online_auc: 0.719059	valid1's auc: 0.670923	valid1's online_auc: 0.68937
[130]	train's auc: 0.699511	train's online_auc: 0.71931	valid1's auc: 0.670924	valid1's online_auc: 0.689426
[131]	train's auc: 0.699701	train's online_auc: 0.719497	valid1's auc: 0.670937	valid1's online_auc: 0.689399
[132]	train's auc: 0.699956	train's online_auc: 0.719774	valid1's auc: 0.670995	valid1's online_auc: 0.689523
[133]	train's auc: 0.700216	train's online_auc: 0.720044	valid1's auc: 0.671064	valid1's online_auc: 0.689561
[134]	train's auc: 0.700499	train's online_auc: 0.720289	valid1's auc: 0.67115	valid1's online_auc: 0.689595
[135]	train's auc: 0.700692	train's online_auc: 0.720571	valid1's auc: 0.671203	valid1's online_auc: 0.689683
[136]	train's auc: 0.700814	train's online_auc: 0.720678	valid1's auc: 0.671208	valid1's online_auc: 0.689711
[137]	train's auc: 0.701189	train's online_auc: 0.721123	valid1's auc: 0.671232	valid1's online_auc: 0.689777
[138]	train's auc: 0.701367	train's online_auc: 0.721276	valid1's auc: 0.671255	valid1's online_auc: 0.68977
[139]	train's auc: 0.7015	train's online_auc: 0.721395	valid1's auc: 0.671291	valid1's online_auc: 0.689795
[140]	train's auc: 0.701708	train's online_auc: 0.721586	valid1's auc: 0.671376	valid1's online_auc: 0.689798
[141]	train's auc: 0.70194	train's online_auc: 0.721785	valid1's auc: 0.671395	valid1's online_auc: 0.68983
[142]	train's auc: 0.702109	train's online_auc: 0.721921	valid1's auc: 0.671392	valid1's online_auc: 0.689808
[143]	train's auc: 0.702326	train's online_auc: 0.722153	valid1's auc: 0.671415	valid1's online_auc: 0.689815
[144]	train's auc: 0.702604	train's online_auc: 0.722391	valid1's auc: 0.671432	valid1's online_auc: 0.689783
[145]	train's auc: 0.702894	train's online_auc: 0.722657	valid1's auc: 0.67146	valid1's online_auc: 0.689795
[146]	train's auc: 0.70304	train's online_auc: 0.722782	valid1's auc: 0.671466	valid1's online_auc: 0.689778
[147]	train's auc: 0.703217	train's online_auc: 0.722915	valid1's auc: 0.671471	valid1's online_auc: 0.689778
[148]	train's auc: 0.703457	train's online_auc: 0.723162	valid1's auc: 0.671472	valid1's online_auc: 0.689798
[149]	train's auc: 0.703835	train's online_auc: 0.723495	valid1's auc: 0.671518	valid1's online_auc: 0.689801
[150]	train's auc: 0.704094	train's online_auc: 0.723717	valid1's auc: 0.671537	valid1's online_auc: 0.689818
[151]	train's auc: 0.704286	train's online_auc: 0.723874	valid1's auc: 0.671588	valid1's online_auc: 0.689851
[152]	train's auc: 0.70457	train's online_auc: 0.724203	valid1's auc: 0.671633	valid1's online_auc: 0.68994
[153]	train's auc: 0.704853	train's online_auc: 0.724501	valid1's auc: 0.671637	valid1's online_auc: 0.689899
[154]	train's auc: 0.705015	train's online_auc: 0.724703	valid1's auc: 0.671658	valid1's online_auc: 0.689895
[155]	train's auc: 0.705249	train's online_auc: 0.72492	valid1's auc: 0.671678	valid1's online_auc: 0.689988
[156]	train's auc: 0.705417	train's online_auc: 0.725051	valid1's auc: 0.671723	valid1's online_auc: 0.690007
[157]	train's auc: 0.705653	train's online_auc: 0.725309	valid1's auc: 0.671703	valid1's online_auc: 0.689991
[158]	train's auc: 0.706009	train's online_auc: 0.725679	valid1's auc: 0.671829	valid1's online_auc: 0.690204
[159]	train's auc: 0.706188	train's online_auc: 0.725842	valid1's auc: 0.671879	valid1's online_auc: 0.69029
[160]	train's auc: 0.706395	train's online_auc: 0.72601	valid1's auc: 0.671864	valid1's online_auc: 0.690292
[161]	train's auc: 0.706522	train's online_auc: 0.72614	valid1's auc: 0.671855	valid1's online_auc: 0.690255
[162]	train's auc: 0.706703	train's online_auc: 0.726369	valid1's auc: 0.671874	valid1's online_auc: 0.690284
[163]	train's auc: 0.70697	train's online_auc: 0.726641	valid1's auc: 0.67195	valid1's online_auc: 0.690272
[164]	train's auc: 0.707226	train's online_auc: 0.726922	valid1's auc: 0.671932	valid1's online_auc: 0.69025
[165]	train's auc: 0.707496	train's online_auc: 0.727175	valid1's auc: 0.671976	valid1's online_auc: 0.690273
[166]	train's auc: 0.70764	train's online_auc: 0.727329	valid1's auc: 0.671994	valid1's online_auc: 0.690265
[167]	train's auc: 0.707891	train's online_auc: 0.727598	valid1's auc: 0.671992	valid1's online_auc: 0.690218
[168]	train's auc: 0.708072	train's online_auc: 0.727738	valid1's auc: 0.671979	valid1's online_auc: 0.690191
[169]	train's auc: 0.708191	train's online_auc: 0.727863	valid1's auc: 0.671977	valid1's online_auc: 0.690202
[170]	train's auc: 0.708354	train's online_auc: 0.728029	valid1's auc: 0.67197	valid1's online_auc: 0.690166
[171]	train's auc: 0.70863	train's online_auc: 0.728225	valid1's auc: 0.672	valid1's online_auc: 0.690175
[172]	train's auc: 0.708872	train's online_auc: 0.728518	valid1's auc: 0.671997	valid1's online_auc: 0.690149
[173]	train's auc: 0.709016	train's online_auc: 0.72865	valid1's auc: 0.671996	valid1's online_auc: 0.690159
[174]	train's auc: 0.709246	train's online_auc: 0.728872	valid1's auc: 0.672036	valid1's online_auc: 0.690228
[175]	train's auc: 0.709546	train's online_auc: 0.729175	valid1's auc: 0.672042	valid1's online_auc: 0.690181
[176]	train's auc: 0.709626	train's online_auc: 0.729246	valid1's auc: 0.672029	valid1's online_auc: 0.690159
[177]	train's auc: 0.709917	train's online_auc: 0.729467	valid1's auc: 0.672077	valid1's online_auc: 0.690224
[178]	train's auc: 0.710144	train's online_auc: 0.729667	valid1's auc: 0.672084	valid1's online_auc: 0.690237
[179]	train's auc: 0.710301	train's online_auc: 0.72981	valid1's auc: 0.672085	valid1's online_auc: 0.690248
[180]	train's auc: 0.71057	train's online_auc: 0.730054	valid1's auc: 0.672059	valid1's online_auc: 0.690205
[181]	train's auc: 0.710799	train's online_auc: 0.730258	valid1's auc: 0.672086	valid1's online_auc: 0.690247
[182]	train's auc: 0.710934	train's online_auc: 0.730389	valid1's auc: 0.672068	valid1's online_auc: 0.690278
[183]	train's auc: 0.711096	train's online_auc: 0.730589	valid1's auc: 0.672055	valid1's online_auc: 0.690299
[184]	train's auc: 0.711261	train's online_auc: 0.730808	valid1's auc: 0.67205	valid1's online_auc: 0.690326
[185]	train's auc: 0.711437	train's online_auc: 0.730986	valid1's auc: 0.672012	valid1's online_auc: 0.690245
[186]	train's auc: 0.711675	train's online_auc: 0.731246	valid1's auc: 0.671999	valid1's online_auc: 0.690207
[187]	train's auc: 0.711867	train's online_auc: 0.731439	valid1's auc: 0.672004	valid1's online_auc: 0.690223
[188]	train's auc: 0.712128	train's online_auc: 0.731705	valid1's auc: 0.672041	valid1's online_auc: 0.690332
[189]	train's auc: 0.712248	train's online_auc: 0.731853	valid1's auc: 0.672067	valid1's online_auc: 0.690344
[190]	train's auc: 0.712439	train's online_auc: 0.732039	valid1's auc: 0.672052	valid1's online_auc: 0.690322
[191]	train's auc: 0.712699	train's online_auc: 0.732252	valid1's auc: 0.672063	valid1's online_auc: 0.690305
[192]	train's auc: 0.712889	train's online_auc: 0.732429	valid1's auc: 0.672082	valid1's online_auc: 0.690285
[193]	train's auc: 0.713095	train's online_auc: 0.732593	valid1's auc: 0.672089	valid1's online_auc: 0.690262
[194]	train's auc: 0.713278	train's online_auc: 0.732792	valid1's auc: 0.672081	valid1's online_auc: 0.690243
[195]	train's auc: 0.713552	train's online_auc: 0.733018	valid1's auc: 0.672053	valid1's online_auc: 0.690276
[196]	train's auc: 0.713768	train's online_auc: 0.733228	valid1's auc: 0.672053	valid1's online_auc: 0.690296
[197]	train's auc: 0.713892	train's online_auc: 0.73339	valid1's auc: 0.672057	valid1's online_auc: 0.690228
[198]	train's auc: 0.714202	train's online_auc: 0.733668	valid1's auc: 0.672091	valid1's online_auc: 0.690145
[199]	train's auc: 0.714436	train's online_auc: 0.733923	valid1's auc: 0.672083	valid1's online_auc: 0.69016
[200]	train's auc: 0.714686	train's online_auc: 0.734166	valid1's auc: 0.672089	valid1's online_auc: 0.690183
[201]	train's auc: 0.714894	train's online_auc: 0.734354	valid1's auc: 0.672116	valid1's online_auc: 0.690294
[202]	train's auc: 0.715058	train's online_auc: 0.734528	valid1's auc: 0.672136	valid1's online_auc: 0.690327
[203]	train's auc: 0.715158	train's online_auc: 0.734643	valid1's auc: 0.672128	valid1's online_auc: 0.690337
[204]	train's auc: 0.715336	train's online_auc: 0.734835	valid1's auc: 0.67214	valid1's online_auc: 0.690318
[205]	train's auc: 0.715598	train's online_auc: 0.735089	valid1's auc: 0.672128	valid1's online_auc: 0.690294
[206]	train's auc: 0.71575	train's online_auc: 0.735248	valid1's auc: 0.672149	valid1's online_auc: 0.690287
[207]	train's auc: 0.715902	train's online_auc: 0.73539	valid1's auc: 0.672184	valid1's online_auc: 0.690325
[208]	train's auc: 0.716012	train's online_auc: 0.735477	valid1's auc: 0.672208	valid1's online_auc: 0.690336
[209]	train's auc: 0.716125	train's online_auc: 0.735573	valid1's auc: 0.672196	valid1's online_auc: 0.690288
[210]	train's auc: 0.716229	train's online_auc: 0.735668	valid1's auc: 0.672234	valid1's online_auc: 0.690333
[211]	train's auc: 0.71649	train's online_auc: 0.735894	valid1's auc: 0.672217	valid1's online_auc: 0.690294
[212]	train's auc: 0.716666	train's online_auc: 0.736039	valid1's auc: 0.672255	valid1's online_auc: 0.690322
[213]	train's auc: 0.716927	train's online_auc: 0.736291	valid1's auc: 0.672315	valid1's online_auc: 0.690411
[214]	train's auc: 0.717113	train's online_auc: 0.736527	valid1's auc: 0.672289	valid1's online_auc: 0.690376
[215]	train's auc: 0.71731	train's online_auc: 0.73671	valid1's auc: 0.672315	valid1's online_auc: 0.690492
[216]	train's auc: 0.7176	train's online_auc: 0.736984	valid1's auc: 0.672316	valid1's online_auc: 0.690498
[217]	train's auc: 0.717831	train's online_auc: 0.737186	valid1's auc: 0.672307	valid1's online_auc: 0.690478
[218]	train's auc: 0.718009	train's online_auc: 0.737331	valid1's auc: 0.672316	valid1's online_auc: 0.690512
[219]	train's auc: 0.718117	train's online_auc: 0.73746	valid1's auc: 0.672323	valid1's online_auc: 0.690563
[220]	train's auc: 0.718257	train's online_auc: 0.737644	valid1's auc: 0.672325	valid1's online_auc: 0.690589
[221]	train's auc: 0.718443	train's online_auc: 0.737812	valid1's auc: 0.672346	valid1's online_auc: 0.690626
[222]	train's auc: 0.718739	train's online_auc: 0.738082	valid1's auc: 0.672384	valid1's online_auc: 0.690686
[223]	train's auc: 0.718886	train's online_auc: 0.738205	valid1's auc: 0.672388	valid1's online_auc: 0.690662
[224]	train's auc: 0.719038	train's online_auc: 0.738334	valid1's auc: 0.672385	valid1's online_auc: 0.690653
[225]	train's auc: 0.719189	train's online_auc: 0.738477	valid1's auc: 0.672411	valid1's online_auc: 0.690661
[226]	train's auc: 0.719312	train's online_auc: 0.738606	valid1's auc: 0.672386	valid1's online_auc: 0.690637
[227]	train's auc: 0.719539	train's online_auc: 0.738851	valid1's auc: 0.672388	valid1's online_auc: 0.690602
[228]	train's auc: 0.719754	train's online_auc: 0.739078	valid1's auc: 0.672407	valid1's online_auc: 0.690604
[229]	train's auc: 0.71996	train's online_auc: 0.739315	valid1's auc: 0.67242	valid1's online_auc: 0.690609
[230]	train's auc: 0.720037	train's online_auc: 0.739386	valid1's auc: 0.672423	valid1's online_auc: 0.690616
[231]	train's auc: 0.720225	train's online_auc: 0.739557	valid1's auc: 0.672406	valid1's online_auc: 0.690595
[232]	train's auc: 0.720417	train's online_auc: 0.739735	valid1's auc: 0.672415	valid1's online_auc: 0.690635
[233]	train's auc: 0.720582	train's online_auc: 0.73988	valid1's auc: 0.67242	valid1's online_auc: 0.690634
[234]	train's auc: 0.720828	train's online_auc: 0.740074	valid1's auc: 0.672388	valid1's online_auc: 0.690594
[235]	train's auc: 0.720965	train's online_auc: 0.740212	valid1's auc: 0.672366	valid1's online_auc: 0.690587
[236]	train's auc: 0.721147	train's online_auc: 0.740408	valid1's auc: 0.672399	valid1's online_auc: 0.690656
[237]	train's auc: 0.72122	train's online_auc: 0.740491	valid1's auc: 0.672385	valid1's online_auc: 0.690642
[238]	train's auc: 0.721455	train's online_auc: 0.740746	valid1's auc: 0.672363	valid1's online_auc: 0.690604
[239]	train's auc: 0.7216	train's online_auc: 0.740881	valid1's auc: 0.672358	valid1's online_auc: 0.690596
[240]	train's auc: 0.721772	train's online_auc: 0.741047	valid1's auc: 0.672372	valid1's online_auc: 0.690606
[241]	train's auc: 0.721931	train's online_auc: 0.741182	valid1's auc: 0.672383	valid1's online_auc: 0.690592
[242]	train's auc: 0.722179	train's online_auc: 0.741414	valid1's auc: 0.672385	valid1's online_auc: 0.690605
[243]	train's auc: 0.722472	train's online_auc: 0.741713	valid1's auc: 0.672423	valid1's online_auc: 0.690628
[244]	train's auc: 0.722687	train's online_auc: 0.74191	valid1's auc: 0.672445	valid1's online_auc: 0.690628
[245]	train's auc: 0.72294	train's online_auc: 0.742189	valid1's auc: 0.672489	valid1's online_auc: 0.69077
[246]	train's auc: 0.723026	train's online_auc: 0.742328	valid1's auc: 0.672476	valid1's online_auc: 0.690777
[247]	train's auc: 0.723172	train's online_auc: 0.742463	valid1's auc: 0.672494	valid1's online_auc: 0.690856
[248]	train's auc: 0.723327	train's online_auc: 0.742614	valid1's auc: 0.672485	valid1's online_auc: 0.69087
